Article_title,Article_Title
Iran to consider lifting internet ban; state TV hacked,Iran to consider lifting internet ban; state TV hacked
"Denmark, Greenland suggest Arctic NATO mission, Danish defence minister says","Denmark, Greenland suggest Arctic NATO mission, Danish defence minister says"
"Canada could send small contingent of troops to Greenland, says source","Canada could send small contingent of troops to Greenland, says source"
"Israel invited to join Trump's 'Board of Peace', sources say","Israel invited to join Trump's 'Board of Peace', sources say"
"Trump invites Polish president to join Gaza Board of Peace, aide says","Trump invites Polish president to join Gaza Board of Peace, aide says"
"Rising smoke, locked exits: How Karachi mall inferno trapped victims","Rising smoke, locked exits: How Karachi mall inferno trapped victims"
The exchange of messages between Norway's prime minister and President Trump,The exchange of messages between Norway's prime minister and President Trump
Dozens abducted in Nigeria church attacks; church leader says more than 160 seized,Dozens abducted in Nigeria church attacks; church leader says more than 160 seized
"Denmark, Greenland suggest Arctic NATO mission, Danish defence minister says","Denmark, Greenland suggest Arctic NATO mission, Danish defence minister says"
"Canada could send small contingent of troops to Greenland, says source","Canada could send small contingent of troops to Greenland, says source"
"Israel invited to join Trump's 'Board of Peace', sources say","Israel invited to join Trump's 'Board of Peace', sources say"
"Trump invites Polish president to join Gaza Board of Peace, aide says","Trump invites Polish president to join Gaza Board of Peace, aide says"
"Rising smoke, locked exits: How Karachi mall inferno trapped victims","Rising smoke, locked exits: How Karachi mall inferno trapped victims"
The exchange of messages between Norway's prime minister and President Trump,The exchange of messages between Norway's prime minister and President Trump
Dozens abducted in Nigeria church attacks; church leader says more than 160 seized,Dozens abducted in Nigeria church attacks; church leader says more than 160 seized
"Syria deal could remove main obstacle to Turkey-PKK peace, Turkish officials say","Syria deal could remove main obstacle to Turkey-PKK peace, Turkish officials say"
Ukraine's election chief warns against a rushed post-war vote,Ukraine's election chief warns against a rushed post-war vote
"Passengers tell of terror, screams and darkness after Spain train crash","Passengers tell of terror, screams and darkness after Spain train crash"
Chile wildfires leave 19 dead amid extreme heat as scores evacuated,Chile wildfires leave 19 dead amid extreme heat as scores evacuated
Central African Republic court validates Touadera's re-election,Central African Republic court validates Touadera's re-election
Blast kills seven at Chinese-run restaurant in Afghan capital,Blast kills seven at Chinese-run restaurant in Afghan capital
"EU scrambles to avert Trump Greenland tariffs, prepares retaliation","EU scrambles to avert Trump Greenland tariffs, prepares retaliation"
Spain's deadliest train disasters,Spain's deadliest train disasters
